TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks,Revenue,Total_Cost,Profit
59771,2022-05-08,Inderlok,Kashmere Gate,12.94,77.99,18.27,13.0,Smart Card,maintenance,1013.8699999999999,237.51,776.3599999999999
21363,2023-01-12,Model Town,Dilshad Garden,2.33,35.89,83.71,15.0,Tourist Card,maintenance,538.35,1255.6499999999999,-717.2999999999998
127325,2023-07-13,   Kashmere Gate   ,Netaji Subhash Place,5.56,64.35,43.7,9.0,Single,off-peak,579.15,393.3,185.84999999999997
140510,2022-11-10,Chandni Chowk,Hauz Khas,4.02,144.13,14.98,27.0,,maintenance,3891.5099999999998,404.46000000000004,3487.0499999999997
144298,2022-11-06,Rajiv Chowk,Kalkaji Mandir,9.66,104.96,83.84,23.0,Single,off-peak,2414.08,1928.3200000000002,485.75999999999976
96371,2024-07-10,Kalkaji Mandir,Shivaji Park,3.91,29.2,30.64,22.0,Tourist Card,,642.4,674.08,-31.680000000000064
49743,2022-09-02,Mandi House,Jasola Vihar,1.49,175.32,33.45,14.0,Tourist Card,peak,2454.48,468.30000000000007,1986.1799999999998
47390,2023-12-07,Mandi House,Central Secretariat,7.38,167.59,50.69,18.0,Tourist Card,festival,3016.62,912.42,2104.2
58379,2024-05-05,AIIMS,Chandni Chowk,2.57,125.25,81.71,24.0,Single,weekend,3006.0,1961.04,1044.96
69048,2022-07-05,New Delhi,Jasola Vihar,7.58,151.39,37.76,19.0,Tourist Card,peak,2876.41,717.4399999999999,2158.97
41981,2023-03-19,New Delhi,Model Town,1.04,114.49,107.94,16.0,Smart Card,festival,1831.84,1727.04,104.79999999999995
88783,2022-07-28,Rajiv Chowk,Kirti Nagar,5.84,66.97,114.12,24.0,Tourist Card,weekend,1607.28,2738.88,-1131.6000000000001
70772,2023-02-16,Rajiv Chowk,New Delhi,2.71,157.05,93.1,21.0,Tourist Card,weekend,3298.05,1955.1,1342.9500000000003
20217,2024-04-06,Rajiv Chowk,Laxmi Nagar,1.54,162.06,64.45,11.0,Tourist Card,festival,1782.66,708.95,1073.71
80725,2024-09-11,Rajouri Garden,Barakhamba Road,5.14,59.77,81.08,26.0,Smart Card,maintenance,1554.02,2108.08,-554.06
96907,2022-07-17,Rajiv Chowk,Kalkaji Mandir,1.51,136.28,110.94,21.0,Tourist Card,off-peak,2861.88,2329.74,532.1400000000003
81422,2024-05-06,Rajiv Chowk,Janakpuri West,4.76,82.87,33.01,22.0,Smart Card,maintenance,1823.14,726.2199999999999,1096.92
109510,2023-02-06,  Laxmi Nagar ,Netaji Subhash Place,2.54,178.92,109.15,26.0,Smart Card,,4651.92,2837.9,1814.02
1877,2023-10-09,Noida City Centre,Punjabi Bagh,5.54,31.78,68.13,15.0,Tourist Card,peak,476.70000000000005,1021.9499999999999,-545.2499999999999
46384,2024-08-04,Rajouri Garden,Hauz Khas,2.98,195.57,50.13,19.0,Single,maintenance,3715.83,952.47,2763.3599999999997
7488,2024-11-18,New Delhi,Kalkaji Mandir,13.19,38.99,57.61,15.0,Smart Card,maintenance,584.85,864.15,-279.29999999999995
18049,2022-02-03,Model Town,Kalkaji Mandir,3.09,60.74,63.6,25.0,Tourist Card,festival,1518.5,1590.0,-71.5
29282,2022-10-20,Noida City Centre,Mandi House,6.2,78.87,36.76,25.0,Tourist Card,maintenance,1971.75,919.0,1052.75
51011,2024-10-09,Janakpuri West,Kalkaji Mandir,1.0,67.8,53.12,25.0,Smart Card,,1695.0,1328.0,367.0
76505,2022-11-11,Noida City Centre,Chandni Chowk,4.0,14.2,118.29,18.0,Single,festival,255.6,2129.2200000000003,-1873.6200000000003
134481,2023-12-11,Mandi House,Barakhamba Road,9.7,184.96,58.18,28.0,Tourist Card,maintenance,5178.88,1629.04,3549.84
100165,2023-08-10,Central Secretariat,Shivaji Park,16.02,136.13,24.24,11.0,Tourist Card,weekend,1497.4299999999998,266.64,1230.79
25706,2023-08-12,Rajiv Chowk,Old Delhi,8.1,44.74,21.62,16.0,Tourist Card,,715.84,345.92,369.92
